fit_no,experiment,drate_main,drate_cas,apps_main,apps_casual,apps_onetime,venues_main,venues_casual,venues_onetime
1,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,19.56929,17.60886,1.951811
2,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,18.56929,17.60886,1.951811
3,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,17.56929,17.60886,1.951811
4,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,16.56929,17.60886,1.951811
5,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,15.56929,17.60886,1.951811
6,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,14.56929,17.60886,1.951811
7,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,13.56929,17.60886,1.951811
8,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,12.56929,17.60886,1.951811
9,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,11.56929,17.60886,1.951811
